introduction_id,country_id,year_id,description,intro_status
145862,14,1993,IPV (Inactivated polio vaccine),No
145863,14,1993,Measles-containing vaccine 2nd dose,No
145864,14,1993,Mumps vaccine,No
145865,14,1993,Rubella vaccine,No
145866,14,1993,Seasonal Influenza vaccine,No
145867,14,1993,YF (Yellow fever) vaccine,No
145868,14,1992,Hepatitis B vaccine,No
145869,14,1992,HepB birth dose,No
145870,14,1992,Hib (Haemophilus influenzae type B) vaccine,No
145871,14,1992,IPV (Inactivated polio vaccine),No
145872,14,1992,Measles-containing vaccine 2nd dose,No
145873,14,1992,Mumps vaccine,No
145874,14,1992,Rubella vaccine,No
145875,14,1992,Seasonal Influenza vaccine,No
145876,14,1992,YF (Yellow fever) vaccine,No
145877,14,1991,Hepatitis B vaccine,No
145878,14,1991,HepB birth dose,No
145879,14,1991,Hib (Haemophilus influenzae type B) vaccine,No
145880,14,1991,IPV (Inactivated polio vaccine),No
145881,14,1991,Measles-containing vaccine 2nd dose,No
145882,14,1991,Mumps vaccine,No
145883,14,1991,Rubella vaccine,No
145884,14,1991,Seasonal Influenza vaccine,No
145885,14,1991,YF (Yellow fever) vaccine,No
145886,15,2023,aP (acellular pertussis) vaccine,No
145887,15,2023,Hepatitis A vaccine,No
145888,15,2023,Hepatitis B vaccine,Yes
145889,15,2023,HepB birth dose,No
145890,15,2023,Hib (Haemophilus influenzae type B) vaccine,Yes
145891,15,2023,HPV (Human Papilloma Virus) vaccine,No
145892,15,2023,IPV (Inactivated polio vaccine),Yes
145893,15,2023,IPV (Inactivated polio vaccine) 2nd dose,No
145894,15,2023,Japanese Encephalitis,No
145895,15,2023,Malaria vaccine,No
145896,15,2023,Measles-containing vaccine 2nd dose,Yes
145897,15,2023,Meningococcal meningitis vaccines (all strains),No
145898,15,2023,Mumps vaccine,No
145899,15,2023,PCV (Pneumococcal conjugate vaccine),Yes
145900,15,2023,PPV (Pneumococcal polysaccharide vaccine),No
145901,15,2023,Rotavirus vaccine,Yes
145902,15,2023,Rubella vaccine,Yes
145903,15,2023,Seasonal Influenza vaccine,No
145904,15,2023,Typhoid,No
145905,15,2023,Varicella vaccine,No
145906,15,2023,YF (Yellow fever) vaccine,No
145907,15,2022,aP (acellular pertussis) vaccine,No
145908,15,2022,Hepatitis A vaccine,No
145909,15,2022,Hepatitis B vaccine,Yes
145910,15,2022,HepB birth dose,No
145911,15,2022,Hib (Haemophilus influenzae type B) vaccine,Yes
145912,15,2022,HPV (Human Papilloma Virus) vaccine,No
145913,15,2022,IPV (Inactivated polio vaccine),Yes
145914,15,2022,IPV (Inactivated polio vaccine) 2nd dose,No
145915,15,2022,Japanese Encephalitis,No
145916,15,2022,Malaria vaccine,No
145917,15,2022,Measles-containing vaccine 2nd dose,Yes
145918,15,2022,Meningococcal meningitis vaccines (all strains),No
145919,15,2022,Mumps vaccine,No
145920,15,2022,PCV (Pneumococcal conjugate vaccine),Yes
145921,15,2022,PPV (Pneumococcal polysaccharide vaccine),No
145922,15,2022,Rotavirus vaccine,Yes
145923,15,2022,Rubella vaccine,Yes
145924,15,2022,Seasonal Influenza vaccine,No
145925,15,2022,Typhoid,No
145926,15,2022,Varicella vaccine,No
145927,15,2022,YF (Yellow fever) vaccine,No
145928,15,2021,aP (acellular pertussis) vaccine,No
145929,15,2021,Hepatitis A vaccine,No
145930,15,2021,Hepatitis B vaccine,Yes
145931,15,2021,HepB birth dose,No
145932,15,2021,Hib (Haemophilus influenzae type B) vaccine,Yes
145933,15,2021,HPV (Human Papilloma Virus) vaccine,No
145934,15,2021,IPV (Inactivated polio vaccine),Yes
145935,15,2021,IPV (Inactivated polio vaccine) 2nd dose,No
145936,15,2021,Japanese Encephalitis,No
145937,15,2021,Malaria vaccine,No
145938,15,2021,Measles-containing vaccine 2nd dose,Yes
145939,15,2021,Meningococcal meningitis vaccines (all strains),No
145940,15,2021,Mumps vaccine,No
145941,15,2021,PCV (Pneumococcal conjugate vaccine),Yes
145942,15,2021,PPV (Pneumococcal polysaccharide vaccine),No
145943,15,2021,Rotavirus vaccine,Yes
145944,15,2021,Rubella vaccine,Yes
145945,15,2021,Seasonal Influenza vaccine,No
145946,15,2021,Typhoid,No
145947,15,2021,Varicella vaccine,No
145948,15,2021,YF (Yellow fever) vaccine,No
145949,15,2020,aP (acellular pertussis) vaccine,No
145950,15,2020,Hepatitis A vaccine,No
145951,15,2020,Hepatitis B vaccine,Yes
145952,15,2020,HepB birth dose,No
145953,15,2020,Hib (Haemophilus influenzae type B) vaccine,Yes
