cases_id,country_id,year_id,source_group,disease_id,cases
598,,2014,WHO_REGIONS,12,31.0
599,,2013,WHO_REGIONS,1,3.0
600,,2013,WHO_REGIONS,2,128.0
601,,2013,WHO_REGIONS,13,0.0
602,,2013,WHO_REGIONS,4,171178.0
603,,2013,WHO_REGIONS,5,8147.0
604,,2013,WHO_REGIONS,6,1449.0
605,,2013,WHO_REGIONS,7,9930.0
606,,2013,WHO_REGIONS,8,93.0
607,,2013,WHO_REGIONS,9,13739.0
608,,2013,WHO_REGIONS,10,5149.0
609,,2013,WHO_REGIONS,12,268.0
610,,2012,WHO_REGIONS,1,69.0
611,,2012,WHO_REGIONS,2,27.0
612,,2012,WHO_REGIONS,13,0.0
613,,2012,WHO_REGIONS,4,108004.0
614,,2012,WHO_REGIONS,5,2401.0
615,,2012,WHO_REGIONS,6,2049.0
616,,2012,WHO_REGIONS,7,16839.0
617,,2012,WHO_REGIONS,8,168.0
618,,2012,WHO_REGIONS,9,10850.0
619,,2012,WHO_REGIONS,10,4737.0
620,,2012,WHO_REGIONS,12,246.0
621,,2011,WHO_REGIONS,1,0.0
622,,2011,WHO_REGIONS,2,13.0
623,,2011,WHO_REGIONS,13,0.0
624,,2011,WHO_REGIONS,4,195620.0
